paraje,cantidad_encuestas
4 COMPUERTAS,3
ACEQUIA VIEJA,2
ASHPA SUMAJ / PASO GRANDE,48
AVE MARÃ­A,7
BLANCA POZO,54
BRACHO LAGUNA,28
BRACHO LUJAN,6
BREAYOJ,31
CALOJ,7
CARMONA,3
CASPI CUCHUNA,8
CAÃ±ITAS PUERTA,32
CHICLE,13
CHUÃ±A PAMPA,2
COLONIA ALCIRA / EL 20,88
COLONIA ISLA,1
COLONIA LIBANESA,25
COLONIA REAL NORTE,37
COLONIA REAL SUR,47
CRUZ POZO,12
EL BRACHO,13
EL CRUCE,2
EL FISCO,15
EL MOLINO,5
EL NEGRITO,7
EL TOPE,7
GRAMILLA,25
HORNILLOS,2
HUIÃ±AJ RINCON,5
HURMANITA ESTANCIA / LOTE 2,6
ICAÃ±O OESTE,10
ICAÃ±O SUR,27
IMALAYA,11
JUVENTUD,37
KM 5,12
KONSHULNIOJ,5
LA COSTA,89
LA MARTONA,20
LAGO MUYOJ,9
LAS CAÃ±AS,25
LIBANESA CHICA,5
LOTE 1,7
LOTE 4,2
LOTE 5,5
MANCAPA,14
MANQUITALLO,2
MATADERO,16
MISTOL PASO,8
NAVICHA,76
NOVILLO POZO,5
PAAJ MUYOJ,4
PALERMO,1
PERCAS,21
POZO MARCADO,8
POZO MOSOJ,7
PUENTE NEGRO,45
PUNTA CORRAL,2
PUNTA POZO,61
RETIRO,3
RINCÃ³N DE ESPERANZA,7
ROANO POZO,2
SALVEAYOJ,12
SALVIA PASO,20
SAN ANTONIO,12
SAN ANTONIO DE COPO,21
SAN ANTONIO OESTE,34
SAN ISIDRO,3
SAN JOSÃ© / SALADILLO,9
SAN JOSÃ© OESTE,19
SAN ROQUE,11
SANTA ELENA,5
SANTA ROSA,35
SANTO DOMINGO,18
TACO SOMBREANA,19
TACON ESQUINA,13
TAGAN,2
TALA POZO,2
TAQUELLO,9
TIO ALTO,14
TOROPAN,8
TOTORA,7
TRES PUERTAS,8
TRONCO BLANCO,7
TUSCA POZO,15
UGULUCHO,10
VACASNIOJ,19
VACASNIOJ NORTE,12
VACASNIOJ SUR,36
YACASNIOJ,13
