id,fecha_inicial,estado_encuesta,paraje,cantidad_personas
0,2021-08-19,Completa,breayoj,3
1,2021-08-19,Completa,breayoj,5
2,2021-08-19,Completa,breayoj,6
3,2021-08-19,Completa,breayoj,1
4,2021-08-19,Completa,breayoj,6
5,2021-08-19,Completa,breayoj,1
6,2021-08-18,Completa,breayoj,3
7,2021-08-18,Completa,breayoj,8
8,2021-08-18,Completa,breayoj,1
9,2021-08-14,Completa,breayoj,2
10,2021-08-16,Completa,taquello,2
11,2021-08-16,Completa,taquello,4
12,2021-08-17,Completa,breayoj,3
13,2021-08-17,Completa,breayoj,6
14,2021-08-17,Completa,breayoj,4
15,2021-08-17,Completa,breayoj,4
16,2021-08-18,Completa,breayoj,3
17,2021-08-18,Completa,breayoj,8
18,2021-08-16,Completa,taquello,4
19,2021-08-16,Completa,taquello,1
20,2021-08-16,Completa,taquello,6
21,2021-08-16,Completa,taquello,5
22,2021-08-17,Completa,breayoj,3
23,2021-08-17,Completa,breayoj,1
24,2021-08-24,Completa,,5
25,2021-08-23,,breayoj,7
26,2021-08-24,Completa,breayoj,3
27,2021-08-24,Completa,breayoj,2
28,2021-08-24,,breayoj,3
29,2021-08-24,Completa,,8
30,2021-08-23,Completa,breayoj,1
31,2021-08-23,Completa,breayoj,6
32,2021-08-23,Completa,breayoj,9
33,2021-08-23,Completa,breayoj,5
34,2021-08-23,Completa,breayoj,6
35,2021-08-13,Completa,colonia real sur,4
36,2021-08-19,Completa,colonia real norte,5
37,2021-08-19,Imposibilitada,colonia real norte,0
38,2021-08-19,Imposibilitada,tronco blanco,0
39,2021-08-19,Imposibilitada,colonia real norte,0
40,2021-08-19,Completa,colonia real norte,3
41,2021-08-17,Imposibilitada,colonia real sur,0
42,2021-08-17,Completa,colonia real sur,1
43,2021-08-17,Completa,colonia real sur,3
44,2021-08-17,Completa,colonia real sur,4
45,2021-08-17,Completa,colonia real sur,2
46,2021-08-13,Completa,colonia real sur,7
47,2021-08-13,Imposibilitada,colonia real sur,0
48,2021-08-13,Completa,colonia real sur,2
49,2021-08-13,Completa,colonia real sur,6
50,2021-08-13,Completa,colonia real sur,4
51,2021-08-17,Imposibilitada,colonia real sur,0
52,2021-08-12,Completa,colonia real sur,9
53,2021-08-12,Completa,colonia real sur,1
54,2021-08-12,Completa,colonia real sur,4
55,2021-08-12,Completa,colonia real sur,9
56,2021-08-12,Completa,colonia real sur,5
57,2021-08-13,Completa,colonia real sur,1
58,2021-09-03,Completa,icaño sur,6
59,2021-09-03,Completa,icaño sur,6
60,2021-09-03,Completa,icaño sur,1
61,2021-09-03,Completa,colonia real norte,1
62,2021-08-12,Completa,colonia real sur,3
63,2021-08-10,Completa,colonia real sur,7
64,2021-08-10,Completa,colonia real sur,5
65,2021-08-10,Completa,colonia real sur,4
66,2021-08-10,Completa,colonia real sur,4
67,2021-09-03,Imposibilitada,colonia real norte,0
68,2021-09-03,Completa,icaño sur,2
69,2021-08-31,Completa,vacasnioj sur,1
70,2021-08-31,Completa,vacasnioj sur,2
71,2021-08-31,Completa,vacasnioj,5
72,2021-08-31,Completa,vacasnioj sur,2
73,2021-08-10,Completa,colonia real sur,3
74,2021-08-10,,colonia real sur,3
75,2021-08-30,,vacasnioj norte,7
76,2021-08-31,Imposibilitada,vacasnioj sur,0
77,2021-08-31,Completa,vacasnioj sur,3
78,2021-08-31,Completa,colonia real norte,7
79,2021-08-31,Imposibilitada,vacasnioj sur,0
80,2021-08-31,Imposibilitada,vacasnioj sur,0
81,2021-08-24,Completa,vacasnioj sur,4
82,2021-08-30,Imposibilitada,vacasnioj norte,0
83,2021-08-30,Completa,vacasnioj,7
84,2021-08-30,Completa,vacasnioj norte,2
85,2021-08-30,Completa,vacasnioj,1
86,2021-08-30,Completa,colonia real norte,9
87,2021-08-23,Completa,icaño sur,5
88,2021-08-24,Imposibilitada,vacasnioj sur,0
89,2021-08-24,Imposibilitada,vacasnioj sur,0
90,2021-08-24,Completa,vacasnioj norte,2
91,2021-08-24,Completa,vacasnioj,4
92,2021-08-24,Completa,vacasnioj,2
93,2021-08-23,Imposibilitada,colonia real norte,0
94,2021-08-23,Completa,icaño sur,8
95,2021-08-23,Completa,icaño sur,7
96,2021-08-23,Completa,colonia real norte,7
97,2021-08-23,Completa,colonia real norte,7
98,2021-08-23,Completa,icaño sur,2
99,2021-08-23,Imposibilitada,,0
100,2021-08-23,Completa,colonia real norte,6
101,2021-08-23,Completa,icaño sur,5
102,2021-08-23,Imposibilitada,colonia real norte,0
103,2021-08-24,Completa,breayoj,7
104,2021-08-28,Completa,breayoj,10
105,2021-08-28,Completa,breayoj,1
106,2021-08-10,Completa,konshulnioj,4
107,2021-08-10,Completa,santo domingo,2
108,2021-08-10,Completa,santo domingo,7
109,2021-08-10,Completa,konshulnioj,2
110,2021-09-09,Completa,roano pozo,3
111,2021-09-09,Completa,cruz pozo,4
112,2021-08-28,Imposibilitada,breayoj,0
113,2021-08-28,Completa,breayoj,3
114,2021-08-28,Completa,breayoj,9
115,2021-08-31,Completa,san isidro,5
116,2021-08-31,Completa,huiñaj rincon,4
117,2021-09-01,Completa,novillo pozo,4
118,2021-09-01,Completa,novillo pozo,1
119,2021-09-01,Completa,novillo pozo,5
120,2021-09-01,Completa,novillo pozo,3
121,2021-08-31,Completa,huiñaj rincon,3
122,2021-08-31,Completa,san isidro,4
123,2021-08-31,Completa,san isidro,2
124,2021-09-01,Completa,novillo pozo,7
125,2021-09-01,Completa,taquello,5
126,2021-08-31,Completa,taquello,5
127,2021-08-19,Completa,breayoj,2
128,2021-09-01,,novillo pozo,0
129,2021-08-31,Completa,taquello,9
130,2021-08-31,Completa,huiñaj rincon,4
131,2021-08-31,Completa,huiñaj rincon,5
132,2021-08-31,Completa,huiñaj rincon,7
133,2021-08-24,Imposibilitada,bracho laguna,0
134,2021-08-24,Completa,bracho laguna,4
135,2021-08-24,Imposibilitada,bracho laguna,0
136,2021-08-24,Imposibilitada,bracho laguna,0
137,2021-08-24,Completa,,1
138,2021-08-24,Completa,bracho laguna,5
139,2021-09-01,,tacon esquina,5
140,2021-09-01,Completa,tacon esquina,1
141,2021-08-31,Imposibilitada,mancapa,0
142,2021-08-31,Completa,mancapa,7
143,2021-09-01,Completa,tacon esquina,5
144,2021-09-01,Completa,tacon esquina,3
145,2021-09-01,Completa,tacon esquina,5
146,2021-09-01,Completa,tacon esquina,3
147,2021-08-24,Completa,bracho laguna,5
148,2021-08-24,Completa,bracho laguna,2
149,2021-08-24,Completa,bracho laguna,6
150,2021-08-31,Completa,mancapa,2
151,2021-08-31,Completa,,2
152,2021-08-31,Completa,mancapa,5
153,2021-08-12,Imposibilitada,colonia real sur,0
154,2021-08-12,Imposibilitada,colonia real sur,0
155,2021-08-12,Completa,colonia real sur,2
156,2021-08-12,Completa,colonia real sur,6
157,2021-08-12,Completa,colonia real sur,2
158,2021-08-12,Completa,colonia real sur,3
159,2021-09-06,Completa,lote 1,3
160,2021-09-06,Completa,lote 1,3
161,2021-09-03,Completa,icaño sur,4
162,2021-09-03,Completa,icaño sur,5
163,2021-09-03,Completa,,6
164,2021-09-03,Completa,icaño sur,1
165,2021-08-10,Completa,colonia real sur,7
166,2021-08-26,Completa,icaño sur,4
167,2021-08-26,Completa,icaño sur,9
168,2021-08-26,Completa,icaño sur,7
169,2021-08-26,Completa,icaño sur,8
170,2021-09-03,Imposibilitada,vacasnioj norte,0
171,2021-09-03,Imposibilitada,yacasnioj,0
172,2021-08-31,Completa,vacasnioj sur,1
173,2021-08-31,Completa,vacasnioj sur,1
174,2021-08-31,Completa,vacasnioj norte,3
175,2021-08-31,Completa,vacasnioj sur,2
176,2021-08-31,Completa,vacasnioj sur,1
177,2021-08-26,Completa,icaño sur,8
178,2021-09-01,Imposibilitada,colonia real norte,0
179,2021-09-01,Completa,icaño sur,5
180,2021-09-01,Completa,icaño sur,1
181,2021-09-01,Completa,icaño sur,6
182,2021-09-01,Completa,icaño sur,6
183,2021-08-31,Completa,vacasnioj sur,7
184,2021-08-24,Imposibilitada,vacasnioj norte,0
185,2021-08-24,Imposibilitada,vacasnioj norte,0
186,2021-08-24,Completa,vacasnioj norte,4
187,2021-08-24,Completa,vacasnioj norte,7
188,2021-08-24,Completa,vacasnioj norte,4
189,2021-08-24,Completa,vacasnioj norte,9
190,2021-08-31,Imposibilitada,vacasnioj sur,0
191,2021-08-31,Completa,vacasnioj sur,4
192,2021-08-23,Completa,vacasnioj norte,8
193,2021-08-23,Completa,vacasnioj norte,9
194,2021-08-23,Completa,icaño sur,4
195,2021-08-24,Imposibilitada,vacasnioj norte,0
196,2021-08-30,,vacasnioj,2
197,2021-08-30,Imposibilitada,vacasnioj sur,0
198,2021-08-30,Completa,colonia real norte,6
199,2021-08-30,Imposibilitada,vacasnioj norte,0
200,2021-08-30,Completa,vacasnioj norte,5
201,2021-08-30,Completa,vacasnioj norte,1
202,2021-08-18,Imposibilitada,colonia real norte,0
203,2021-08-18,Completa,colonia real norte,8
204,2021-08-18,Completa,colonia real norte,4
205,2021-08-18,Completa,colonia real norte,2
206,2021-08-18,Completa,colonia real norte,4
207,2021-08-30,Imposibilitada,vacasnioj norte,0
208,2021-08-10,Completa,colonia real sur,2
209,2021-08-10,Completa,colonia real sur,1
210,2021-08-25,Imposibilitada,colonia real norte,0
211,2021-08-25,Completa,icaño sur,5
212,2021-08-25,Completa,,1
213,2021-08-26,Completa,icaño sur,3
214,2021-08-23,Imposibilitada,colonia real norte,0
215,2021-08-23,Completa,colonia real norte,1
216,2021-08-23,Completa,colonia real norte,6
217,2021-08-10,Completa,colonia real sur,1
218,2021-08-10,Completa,colonia real sur,10
219,2021-08-10,Completa,colonia real sur,7
220,2021-08-20,Completa,colonia real norte,2
221,2021-08-20,Completa,colonia real norte,2
222,2021-08-20,Completa,colonia real norte,1
223,2021-08-20,Completa,colonia real norte,1
224,2021-08-23,Completa,colonia real norte,6
225,2021-08-23,Completa,colonia real norte,2
226,2021-08-19,Completa,colonia real norte,1
227,2021-08-19,Completa,navicha,3
228,2021-08-19,,colonia real norte,1
229,2021-08-19,Completa,colonia real norte,1
230,2021-08-19,Completa,colonia real norte,5
231,2021-08-20,Imposibilitada,colonia real norte,0
232,2021-08-13,Completa,colonia real sur,1
233,2021-08-13,Completa,colonia real sur,3
234,2021-08-18,,colonia real norte,0
235,2021-08-19,Completa,colonia real norte,2
236,2021-08-19,Imposibilitada,colonia real norte,0
237,2021-08-19,Imposibilitada,colonia real norte,0
238,2021-08-12,Completa,colonia real sur,3
239,2021-08-19,Imposibilitada,colonia real norte,0
240,2021-08-19,Completa,colonia real norte,4
241,2021-08-19,Completa,colonia real norte,4
242,2021-08-19,Completa,colonia real norte,3
243,2021-08-19,Completa,tronco blanco,1
244,2021-08-19,Completa,,4
245,2021-08-17,Completa,colonia real sur,1
246,2021-08-17,Imposibilitada,colonia real sur,0
247,2021-08-17,Completa,colonia real sur,6
248,2021-08-17,Completa,colonia real sur,1
249,2021-08-17,Completa,colonia real sur,4
250,2021-08-17,Completa,colonia real sur,2
251,2021-08-23,Completa,colonia real norte,2
252,2021-08-23,Completa,colonia real norte,6
253,2021-08-23,Completa,colonia real norte,11
254,2021-08-23,Completa,colonia real norte,7
255,2021-08-23,Completa,vacasnioj,10
256,2021-08-19,Completa,tronco blanco,3
257,2021-08-19,Completa,tronco blanco,12
258,2021-08-23,Imposibilitada,colonia real norte,0
259,2021-08-23,Completa,colonia real norte,5
260,2021-08-23,Completa,colonia real norte,5
261,2021-08-23,Completa,colonia real norte,6
262,2021-08-18,,santo domingo,5
263,2021-08-18,Completa,santo domingo,4
264,2021-08-18,Completa,santo domingo,2
265,2021-08-19,Completa,santo domingo,3
266,2021-08-19,Completa,santo domingo,6
267,2021-08-19,Completa,santo domingo,5
268,2021-08-12,Completa,santo domingo,8
269,2021-08-10,Completa,konshulnioj,5
270,2021-08-10,Completa,santo domingo,14
271,2021-09-03,Completa,tusca pozo,4
272,2021-09-03,Completa,tusca pozo,3
273,2021-08-13,Completa,colonia real sur,3
274,2021-08-13,Completa,,2
275,2021-08-13,Completa,colonia real sur,6
276,2021-08-13,Completa,colonia real sur,2
277,2021-08-13,Completa,colonia real sur,4
278,2021-08-12,Completa,puente negro,3
279,2021-08-12,Completa,puente negro,11
280,2021-08-12,Completa,,8
281,2021-08-12,Completa,puente negro,3
282,2021-08-17,Completa,puente negro,5
283,2021-08-17,Imposibilitada,puente negro,0
284,2021-08-19,Completa,puente negro,4
285,2021-08-23,Completa,bracho laguna,4
286,2021-08-23,Completa,bracho laguna,3
287,2021-08-23,Completa,bracho laguna,5
288,2021-08-30,Completa,mancapa,3
289,2021-08-30,Completa,mancapa,1
290,2021-08-30,Completa,mancapa,3
291,2021-08-23,Imposibilitada,bracho laguna,0
292,2021-08-23,,bracho laguna,3
293,2021-08-23,Completa,bracho laguna,6
294,2021-09-01,Completa,tacon esquina,5
295,2021-09-01,Completa,tacon esquina,1
296,2021-09-01,Completa,tacon esquina,4
297,2021-09-01,Completa,tacon esquina,4
298,2021-08-30,Completa,mancapa,4
299,2021-08-30,Completa,mancapa,5
300,2021-08-31,Imposibilitada,mancapa,0
301,2021-09-01,Imposibilitada,tacon esquina,0
302,2021-09-01,Imposibilitada,tacon esquina,0
303,2021-08-31,Completa,mancapa,4
304,2021-09-01,Completa,tacon esquina,7
305,2021-09-01,Imposibilitada,tacon esquina,0
306,2021-08-18,Completa,mancapa,6
307,2021-08-18,Completa,puente negro,3
308,2021-08-31,Imposibilitada,mancapa,0
309,2021-08-31,Imposibilitada,mancapa,0
310,2021-08-31,Imposibilitada,mancapa,0
311,2021-08-31,Imposibilitada,mancapa,0
312,2021-08-24,Completa,bracho laguna,2
313,2021-08-24,Completa,bracho laguna,8
314,2021-08-24,Completa,bracho laguna,4
315,2021-08-24,,bracho laguna,4
316,2021-08-18,,puente negro,0
317,2021-08-18,Completa,puente negro,2
318,2021-08-10,Completa,puente negro,6
319,2021-08-10,Completa,puente negro,8
320,2021-08-24,Imposibilitada,bracho laguna,0
321,2021-08-24,Imposibilitada,bracho laguna,0
322,2021-08-24,Completa,bracho laguna,3
323,2021-08-24,Completa,bracho laguna,3
324,2021-08-19,Imposibilitada,puente negro,0
325,2021-08-19,Completa,puente negro,2
326,2021-08-19,Completa,puente negro,19
327,2021-08-10,Completa,puente negro,7
328,2021-08-10,Completa,puente negro,7
329,2021-08-10,Completa,puente negro,7
330,2021-08-17,Completa,puente negro,4
331,2021-08-17,,puente negro,4
332,2021-08-17,Completa,puente negro,3
333,2021-08-19,Completa,puente negro,1
334,2021-08-19,Completa,puente negro,1
335,2021-08-19,Imposibilitada,puente negro,0
336,2021-08-12,Completa,puente negro,6
337,2021-08-12,Completa,puente negro,1
338,2021-08-12,Completa,puente negro,4
339,2021-08-12,Completa,,1
340,2021-08-12,Completa,puente negro,2
341,2021-08-12,Completa,puente negro,2
342,2021-09-01,Completa,tacon esquina,5
343,2021-08-23,Completa,bracho laguna,1
344,2021-08-31,Imposibilitada,mancapa,0
345,2021-08-31,Imposibilitada,mancapa,0
346,2021-09-06,Completa,la costa,2
347,2021-09-06,Completa,la costa,8
348,2021-08-24,Imposibilitada,bracho laguna,0
349,2021-08-24,Completa,bracho laguna,4
350,2021-08-24,Completa,,3
351,2021-09-01,Imposibilitada,,0
352,2021-09-01,Imposibilitada,tacon esquina,0
353,2021-09-01,Completa,tacon esquina,2
354,2021-08-30,Completa,mancapa,3
355,2021-08-30,,mancapa,9
356,2021-08-30,Completa,mancapa,7
357,2021-08-30,Completa,,1
358,2021-08-24,Imposibilitada,bracho laguna,0
359,2021-08-24,Completa,bracho laguna,7
360,2021-08-27,Imposibilitada,bracho laguna,0
361,2021-08-27,,el cruce,0
362,2021-08-27,Imposibilitada,bracho laguna,0
363,2021-08-27,Completa,el cruce,5
364,2021-08-27,Completa,bracho laguna,2
365,2021-08-27,Completa,el cruce,2
366,2021-08-27,Completa,bracho laguna,2
367,2021-08-27,Imposibilitada,bracho laguna,0
368,2021-08-27,Imposibilitada,bracho laguna,0
369,2021-08-27,Imposibilitada,bracho laguna,0
370,2021-08-27,Completa,bracho laguna,2
371,2021-08-27,Imposibilitada,bracho laguna,0
372,2021-09-01,Completa,tacon esquina,4
373,2021-08-27,Completa,bracho laguna,5
374,2021-08-27,Imposibilitada,bracho laguna,0
375,2021-08-27,Completa,bracho laguna,3
376,2021-08-27,Imposibilitada,bracho laguna,0
377,2021-08-27,Imposibilitada,bracho laguna,0
378,2021-08-18,Completa,puente negro,2
379,2021-08-18,Completa,puente negro,3
380,2021-08-31,Completa,mancapa,3
381,2021-08-31,Completa,mancapa,4
382,2021-09-01,Imposibilitada,tacon esquina,0
383,2021-09-01,Completa,,2
384,2021-08-10,Completa,puente negro,2
385,2021-08-24,Completa,bracho laguna,3
386,2021-08-18,Completa,puente negro,5
387,2021-08-18,Completa,puente negro,4
388,2021-08-18,Completa,puente negro,6
389,2021-08-18,Completa,puente negro,7
390,2021-08-23,Completa,bracho laguna,4
391,2021-08-23,Completa,bracho laguna,5
392,2021-08-10,Completa,puente negro,5
393,2021-08-10,,puente negro,4
394,2021-08-10,Completa,puente negro,6
395,2021-08-10,Completa,puente negro,5
396,2021-08-19,Completa,puente negro,3
397,2021-08-19,Completa,puente negro,2
398,2021-08-23,Completa,bracho laguna,2
399,2021-08-23,Completa,bracho laguna,2
400,2021-08-23,Completa,bracho laguna,1
401,2021-08-23,Completa,,5
402,2021-08-17,Completa,puente negro,2
403,2021-08-19,Completa,puente negro,5
404,2021-08-19,Completa,puente negro,2
405,2021-08-19,Completa,puente negro,4
406,2021-08-19,Imposibilitada,puente negro,0
407,2021-08-19,Imposibilitada,puente negro,0
408,2021-08-12,Completa,puente negro,4
409,2021-08-17,Completa,puente negro,3
410,2021-08-17,Completa,puente negro,5
411,2021-08-17,Completa,puente negro,8
412,2021-08-17,Completa,puente negro,6
413,2021-08-17,Completa,puente negro,2
414,2021-08-23,Completa,icaño sur,5
415,2021-08-23,Completa,colonia real norte,3
416,2021-08-19,Completa,colonia real norte,5
417,2021-08-19,Completa,colonia real sur,8
418,2021-08-19,Completa,tronco blanco,10
419,2021-08-19,Imposibilitada,,0
420,2021-08-19,Completa,tronco blanco,1
421,2021-08-19,Completa,tronco blanco,2
422,2021-08-10,Completa,konshulnioj,7
423,2021-08-12,Completa,santo domingo,4
424,2021-08-10,Completa,konshulnioj,3
425,2021-08-10,Completa,,1
426,2021-08-20,Completa,santo domingo,10
427,2021-08-20,Completa,santo domingo,6
428,2021-09-03,Completa,tusca pozo,4
429,2021-09-03,Completa,tusca pozo,4
430,2021-09-03,Completa,santo domingo,5
431,2021-09-03,Completa,tusca pozo,3
432,2021-08-19,Completa,santo domingo,2
433,2021-08-19,Completa,santo domingo,8
434,2021-08-20,Completa,santo domingo,4
435,2021-08-20,Completa,santo domingo,6
436,2021-08-20,Completa,santo domingo,9
437,2021-08-20,,santo domingo,11
