paraje,cantidad_personas
4 COMPUERTAS,11
ACEQUIA VIEJA,12
ASHPA SUMAJ / PASO GRANDE,201
AVE MARÍA,44
BLANCA POZO,199
BRACHO LAGUNA,103
BRACHO LUJAN,15
BREAYOJ,132
CALOJ,20
CARMONA,15
CASPI CUCHUNA,23
CAÑITAS PUERTA,128
CHICLE,57
CHUÑA PAMPA,7
COLONIA ALCIRA / EL 20,336
COLONIA ISLA,1
COLONIA LIBANESA,62
COLONIA REAL NORTE,160
COLONIA REAL SUR,191
CRUZ POZO,59
EL BRACHO,55
EL CRUCE,7
EL FISCO,63
EL MOLINO,20
EL NEGRITO,46
EL TOPE,29
GRAMILLA,118
HORNILLOS,8
HUIÑAJ RINCON,23
HURMANITA ESTANCIA / LOTE 2,17
ICAÑO OESTE,34
ICAÑO SUR,134
IMALAYA,41
JUVENTUD,126
KM 5,37
KONSHULNIOJ,21
LA COSTA,327
LA MARTONA,78
LAGO MUYOJ,27
LAS CAÑAS,107
LIBANESA CHICA,13
LOTE 1,14
LOTE 4,3
LOTE 5,22
MANCAPA,57
MANQUITALLO,6
MATADERO,54
MISTOL PASO,33
NAVICHA,295
NOVILLO POZO,20
PAAJ MUYOJ,15
PALERMO,4
PERCAS,102
POZO MARCADO,36
POZO MOSOJ,22
PUENTE NEGRO,202
PUNTA CORRAL,14
PUNTA POZO,281
RETIRO,12
RINCÓN DE ESPERANZA,27
ROANO POZO,8
SALVEAYOJ,58
SALVIA PASO,60
SAN ANTONIO,39
SAN ANTONIO DE COPO,88
SAN ANTONIO OESTE,127
SAN ISIDRO,11
SAN JOSÉ / SALADILLO,35
SAN JOSÉ OESTE,76
SAN ROQUE,65
SANTA ELENA,21
SANTA ROSA,146
SANTO DOMINGO,105
TACO SOMBREANA,87
TACON ESQUINA,49
TAGAN,10
TALA POZO,20
TAQUELLO,41
TIO ALTO,49
TOROPAN,40
TOTORA,22
TRES PUERTAS,27
TRONCO BLANCO,30
TUSCA POZO,49
UGULUCHO,38
VACASNIOJ,96
VACASNIOJ NORTE,58
VACASNIOJ SUR,129
YACASNIOJ,39
